Nr;Titel;Beschrieb;Ort;OrtLink;Jahr;Akteurinnen;Themenfelder;FinanzielleUnterstuetzung;Laufend;Link1;Link2
56;BEO HOLZ;The BEO HOLZ joint venture was founded in 1968. It is an association of forest owners' associations, sawmills, master carpenters, master joiners and wood energy, which BEO HOLZ jointly operates and promotes. The common goal is the promotion of wood in the Bernese Oberland. They are committed to the use of wood as an energy source and building material in the BeO. Furthermore, the interest in wood as a value-added material is promoted and represented in politics. ;Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;1968;Associations;Building and timber industry; ;Yes;http://www.beoholz.ch/; 
57;Qualifizierungsplattform Regionen Berner Oberland und Oberwallis;"The Bernese Oberland is the responsible body for the project ""Qualification Platform Regions Upper Valais and Bernese Oberland"", which was approved in 2015. The project is being implemented together with the Upper Valais region. It aims to increase the qualification of employees and to strengthen the adaptability of employers in the regions. For this reason, a qualification platform was established with the three fields of action: Further training, networks and innovation and technology transfer. ";Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2015;Clubs;Skilled workers, Industry, Education;NRP;Yes;https://regiosuisse.ch/projects/ext/65800000/qualifizierungsplattform-oberwallis-und-berner-oberland-phase-2-3;https://www.volkswirtschaftbeo.ch/images/content/content/aktuell/TextWebsiteVWBeOQualifizierungsplattform.pdf
58;Geburtshaus Maternité Alpine;In 2015, the obstetrics department at the Zweisimmen hospital was closed and basic obstetric care in the Saaneland region was not satisfactory. For this reason, a cooperative was founded in 2015 by 49 interested parties in order to provide basic obstetric care close to their homes. Finally, in 2017, the Maternité Alpine birthplace in Zweisimmen was put into operation. The cooperative now has over 340 members. The cooperation between practicing doctors, midwives, Spitex services, etc. is strengthened and maintained. ;Zweisimmen;https://s.geo.admin.ch/87c593bfe7;2015;Individuals;Public service, Health; ;Yes;https://maternitealpine.ch/de/; 
59;Solarschiff Thun;In 2011, the solar ship Cassiopeia set sail for the first time on Lake Thun. The Charrois family owns the ship and did most of the work themselves. The ship was developed for the public transport of 12 people and a solar roof is used to produce electricity for the electric motor. With this idea, the family wants to draw attention to the potential of solar energy and demonstrate sustainable leisure mobility. Since 2014, various educational trips have been carried out in cooperation with Aqua Viva.;Thun;https://s.geo.admin.ch/87c59043a5;2011;Individuals;Tourism, Leisure activity, Mobility, Ecology, Energy; ;Yes;https://www.solarschiffthun.ch/; 
60;Hotel Barrierefreiheit ;In 2016, the Claire & George Foundation together with hotelleriesussie launched the Hotel Accessibility Project. Other tourism and disability organisations also participated in the project. It is a hotel platform with information on accessibility of accommodation. After the test phase, it was planned that the information would be stored in the hotelleriesuisse database. During the project phase, the hotels were checked on site by a team regarding accessibility. ;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2016;Foundations, Associations;Tourism, Accommodation, Inclusion;Innotour;No;https://www.hotel-accessibility.ch/; 
61;Kurse «mobil sein & bleiben»;The private office rundum mobil GmbH is committed to efficient and social mobility. In the year 2000, various courses for senior women were launched. These courses deal with questions such as: How can I buy a ticket from a ticket machine, how can I travel safely on public transport, etc.? The pilot project was launched in the Thun region, working together with various players such as the SBB, Postauto and the Bern cantonal police. ;Switzerland ;https://s.geo.admin.ch/87c58a7aac;2000;Companies, Foundations, Public sector;Mobility, Inclusion, Education;Interreg;Yes;https://mobilsein-mobilbleiben.ch/web/; 
62;Wärmeverbund mit Seewasserthermie;The Strandhotel Seeblick Faulensee wants to use the heating potential of lakes and rivers together with the SpiezSolar cooperative. In a pilot project, several properties are to be heated with lake water. This method of lake heating is already being used at many other locations in Switzerland. For this purpose, water is pumped out of the lake, even in cold seasons, the heat is extracted and fed back into the lake at a slightly cooler temperature.;Faulensee;https://s.geo.admin.ch/87c59425f1;2019;Companies;Ecology, Energy; ;Yes;https://www.bernerzeitung.ch/region/oberland/nutzung-der-seewaerme-steckt-im-oberland-in-kinderschuhen/story/22161704;
63;Integriertes Gesundheitsnetzwerk Simmental-Saanenland ;"In 2018 the project ""Integrated Health Network Simmental-Saanenland"" was presented. It is intended to ensure that basic and hospital care in the Simmental-Saanenland region is guaranteed in the long term. To this end, a health campus in Zweisimmen and a health center in Saanen are being considered. Health care in the region is to be ensured by an integrated health network with a health campus in Zweisimmen and an integrated health centet in Saanen. This means that there is a strong network between the healthcare partners.";Simmental-Saanenland;https://s.geo.admin.ch/87c5949ec8;2018;Companies, Public sector;Public service, Health; ;Yes;https://megss.ch/; 
64;Schule Guttannen;In order for the canton to co-finance the primary school in Guttannen, the school lacked pupils. Therefore, a working group was set up in 2015 to look into the future of the school. In 2017, the village voted to approve the reorganization of the primary school. As a solution, the Bernese private school NMS took over the Guttannen primary school as an external location. ;Guttannen;https://s.geo.admin.ch/87c594d397;2015;Companies, Public sector;Public service, Education; ;Yes;http://www.schuleguttannen.ch/; 
65;Youth Alpine Interrail;"The International Commission for the Protection of the Alps CIPRA has launched the ""Youth Alpine Interrail"" in 2019. Eight Alpine countries could be explored in a climate-friendly way by train for 50 euros. Young people aged 16-27 could apply for the pass and then share their adventure via social media. At the end, the best photos and stories were awarded. The idea was to show people the Alps and to trigger a more conscious travel to the Alps.";Europe;http://webgis.alpconv.org/;2019;Clubs, Companies;Tourism, Mobility, Ecology; ;No;http://yoalin.org/; 
66;Burelädeli Diemtigtal;"During a tourism conference in 2001, a working group of farmers was formed. Their aim was to market the local products. In the same year the idea of a ""Burelädeli"" was born, where products of local farmers and artists are sold. In addition, an online Burelädeli was developed, in which a gift basket can be selected. ";Zwischenflüh;https://s.geo.admin.ch/87c594fb3f;2001;Companies;Agriculture, Local products; ;Yes;http://burelaedeli-diemtigtal.ch/; 
67;Selbstbaugruppe Energiewendegenossenschaft;The self-construction group Engergiebaugenossenschaft is characterized by its financing model. Customers who purchase a solar system help with the installation. In addition, they contribute hours of work to the construction of further solar systems. This means that the systems can be built more cheaply.;Bernese Oberland;https://s.geo.admin.ch/87c58c40a0;2019;Individuals;Alternative production & consumption, Industry, Ecology, Energy, Education; ;Yes;https://www.e-wende.ch/index.php;
68;Hausarztnotfall Region Thun (HAN-rt);In 2010 the doctors from the region founded the association HAN-RT. The family doctors run an emergency practice on the premises of the hospital Thun on weekends from 8.00 to 22.00 o'clock and on weekdays in the evening between 17.00 and 22.00 o'clock. Every day there is a general practitioner who is on duty in the joint emergency practice. The aim is to relieve the workload of the general practitioners and to optimise the emergency work.;Thun;https://s.geo.admin.ch/87c59043a5;2010;Companies;Public service, Health; ;Yes;https://www.notfallthun.ch/; 
